NC_000017.11	7.235871165603331e-08
NC_000002.12	5.820038498141227e-08
NC_000004.12	1.1067038124950307e-07
NC_000005.10	1.2688578620899133e-07
NC_000011.10	8.919695402510993e-08
NC_000001.11	8.677504343156005e-08
NC_000014.9	1.1041409270713924e-07
NC_000003.12	1.3124675094882064e-07
NC_000012.12	1.577312904607518e-07
NC_000015.10	8.270191895034724e-08
NC_000020.11	6.255448397813115e-08
NC_000009.12	6.56865397433576e-08
NC_000008.11	1.3815194802259524e-07
NC_000007.14	5.032391775977293e-08
NC_000013.11	6.123503221901632e-08
NC_000024.10	7.571441853900852e-08
NC_000010.11	9.004750140770508e-08
NC_000018.10	4.9944059531820643e-08
NC_000023.11	6.45606825675582e-08
NC_000016.10	2.0780886044173025e-07
NC_000021.9	4.988946739052293e-08
NC_000006.12	5.2916734231046915e-08
